 17:39:37 up 1 day,  8:20,  1 user,  load average: 1.96, 1.20, 0.65
 17:39:38 up 1 day,  8:20,  1 user,  load average: 2.12, 1.24, 0.67
 17:39:39 up 1 day,  8:20,  1 user,  load average: 2.12, 1.24, 0.67
 17:39:40 up 1 day,  8:21,  1 user,  load average: 2.12, 1.24, 0.67
 17:39:41 up 1 day,  8:21,  1 user,  load average: 2.12, 1.24, 0.67
 17:39:42 up 1 day,  8:21,  1 user,  load average: 2.12, 1.24, 0.67
 17:39:43 up 1 day,  8:21,  1 user,  load average: 2.03, 1.24, 0.67
 17:39:44 up 1 day,  8:21,  1 user,  load average: 2.03, 1.24, 0.67
 17:39:45 up 1 day,  8:21,  1 user,  load average: 2.03, 1.24, 0.67
 17:39:46 up 1 day,  8:21,  1 user,  load average: 2.03, 1.24, 0.67
 17:39:47 up 1 day,  8:21,  1 user,  load average: 2.03, 1.24, 0.67
 17:39:48 up 1 day,  8:21,  1 user,  load average: 1.95, 1.23, 0.68
 17:39:49 up 1 day,  8:21,  1 user,  load average: 1.95, 1.23, 0.68
 17:39:50 up 1 day,  8:21,  1 user,  load average: 1.95, 1.23, 0.68
 17:39:51 up 1 day,  8:21,  1 user,  load average: 1.95, 1.23, 0.68
 17:39:52 up 1 day,  8:21,  1 user,  load average: 1.95, 1.23, 0.68
 17:39:53 up 1 day,  8:21,  1 user,  load average: 2.11, 1.28, 0.69
 17:39:54 up 1 day,  8:21,  1 user,  load average: 2.11, 1.28, 0.69
 17:39:55 up 1 day,  8:21,  1 user,  load average: 2.11, 1.28, 0.69
 17:39:56 up 1 day,  8:21,  1 user,  load average: 2.11, 1.28, 0.69
 17:39:57 up 1 day,  8:21,  1 user,  load average: 2.11, 1.28, 0.69
 17:39:58 up 1 day,  8:21,  1 user,  load average: 2.18, 1.31, 0.71
 17:39:59 up 1 day,  8:21,  1 user,  load average: 2.18, 1.31, 0.71
 17:40:00 up 1 day,  8:21,  1 user,  load average: 2.18, 1.31, 0.71
 17:40:01 up 1 day,  8:21,  1 user,  load average: 2.18, 1.31, 0.71
 17:40:02 up 1 day,  8:21,  1 user,  load average: 2.18, 1.31, 0.71
 17:40:03 up 1 day,  8:21,  1 user,  load average: 2.17, 1.32, 0.71
 17:40:04 up 1 day,  8:21,  1 user,  load average: 2.17, 1.32, 0.71
 17:40:05 up 1 day,  8:21,  1 user,  load average: 2.17, 1.32, 0.71
 17:40:06 up 1 day,  8:21,  1 user,  load average: 2.17, 1.32, 0.71
 17:40:07 up 1 day,  8:21,  1 user,  load average: 2.17, 1.32, 0.71
 17:40:08 up 1 day,  8:21,  1 user,  load average: 2.07, 1.32, 0.72
 17:40:09 up 1 day,  8:21,  1 user,  load average: 2.07, 1.32, 0.72
 17:40:10 up 1 day,  8:21,  1 user,  load average: 2.07, 1.32, 0.72
 17:40:11 up 1 day,  8:21,  1 user,  load average: 2.07, 1.32, 0.72
 17:40:12 up 1 day,  8:21,  1 user,  load average: 2.07, 1.32, 0.72
 17:40:13 up 1 day,  8:21,  1 user,  load average: 2.31, 1.38, 0.74
 17:40:14 up 1 day,  8:21,  1 user,  load average: 2.31, 1.38, 0.74
 17:40:15 up 1 day,  8:21,  1 user,  load average: 2.31, 1.38, 0.74
 17:40:16 up 1 day,  8:21,  1 user,  load average: 2.31, 1.38, 0.74
 17:40:17 up 1 day,  8:21,  1 user,  load average: 2.31, 1.38, 0.74
 17:40:18 up 1 day,  8:21,  1 user,  load average: 2.52, 1.44, 0.76
 17:40:19 up 1 day,  8:21,  1 user,  load average: 2.52, 1.44, 0.76
 17:40:20 up 1 day,  8:21,  1 user,  load average: 2.52, 1.44, 0.76
 17:40:21 up 1 day,  8:21,  1 user,  load average: 2.52, 1.44, 0.76
 17:40:22 up 1 day,  8:21,  1 user,  load average: 2.52, 1.44, 0.76
 17:40:23 up 1 day,  8:21,  1 user,  load average: 2.40, 1.43, 0.76
 17:40:24 up 1 day,  8:21,  1 user,  load average: 2.40, 1.43, 0.76
 17:40:25 up 1 day,  8:21,  1 user,  load average: 2.40, 1.43, 0.76
