%time,field.x,field.y,field.z
1521800070395250082,0.000391790237369,7.54627373929e-08,0.0
1521800070395390033,0.000391842953114,7.54746814459e-08,0.0
1521800070398477077,0.000391895668849,7.54866261521e-08,0.0
1521800070414963960,0.000391948384574,7.54985714652e-08,0.0
1521800070415096044,0.000392001100288,7.55105173967e-08,0.0
1521800070415174961,0.000392053815993,7.55224640654e-08,0.0
1521800070415237903,0.000392135525314,7.55409823766e-08,0.0
1521800070433021068,0.000392159247372,7.55463589519e-08,0.0
1521800070437876939,0.000392240956662,7.55648793437e-08,0.0
1521800070438397884,0.000392293672321,7.55768285789e-08,0.0
1521800070438653945,0.00039234638797,7.55887783469e-08,0.0
1521800070441736936,0.000392370110009,7.55941559546e-08,0.0
1521800070443615913,0.000392451819237,7.56126796933e-08,0.0
1521800070582902908,0.000392504534856,7.56246309291e-08,0.0
1521800070589814901,0.000392557250464,7.5636582427e-08,0.0
1521800070617427110,0.000392609966063,7.5648534359e-08,0.0
1521800070617552995,0.000392662681652,7.56604867029e-08,0.0
1521800070680181980,0.000398550020131,7.6994838564e-08,0.0
1521800070681376934,0.00140931174013,3.05459620529e-07,0.0
1521800070720019102,0.00363855857312,8.05867928431e-07,0.0
1521800070762631893,0.00707702657437,1.57316978477e-06,0.0
1521800070763360023,0.0117200854567,2.60585483014e-06,0.0
1521800070775659084,0.0213681280493,4.74820421105e-06,0.0
1521800070793127059,0.0289513619379,6.43013426905e-06,0.0
1521800070797410011,0.0377318744398,8.37718231649e-06,0.0
1521800070804358005,0.0477110681494,1.05897369905e-05,0.0
1521800070807637929,0.0588896436399,1.30680363313e-05,0.0
1521800070807858943,0.0712679503998,1.58121899889e-05,0.0
1521800070812863111,0.0848461623216,1.88222995852e-05,0.0
1521800070841418981,0.0996243654557,2.20984452949e-05,0.0
1521800070841727972,0.115602601891,2.56406550899e-05,0.0
1521800070841875076,0.132780891695,2.94488780665e-05,0.0
1521800070846755027,0.151159243888,3.3523220565e-05,0.0
1521800070856653928,0.170591076147,3.78311635516e-05,0.0
1521800070871936082,0.201158997927,4.46402140917e-05,0.0
1521800070912031888,0.210170951,4.66705123594e-05,0.0
1521800070912367105,0.230101915908,5.11751529097e-05,0.0
1521800070933248996,0.250068131945,5.56983463437e-05,0.0
1521800070950836896,0.270051966428,6.02298797302e-05,0.0
1521800070981036901,0.301184795888,6.72930544476e-05,0.0
1521800070989479064,0.310041630004,6.93029503378e-05,0.0
1521800071054569959,0.330040845419,7.38415932018e-05,0.0
1521800071071175098,0.361184268828,8.09099619649e-05,0.0
1521800071092962026,0.381183896809,8.54496027261e-05,0.0
1521800071094379901,0.401183502091,8.99895067126e-05,0.0
1521800071101586103,0.421183098796,9.45296518616e-05,0.0
1521800071123495101,0.450046838928,0.000101082525361,0.0
1521800071143099069,0.470048124372,0.000105623630467,0.0
1521800071194989919,0.481181891996,0.000108151537242,0.0
1521800071234266996,0.510050669139,0.000114706496603,0.0
1521800071234414100,0.541180723651,0.000121775288087,0.0
1521800071274054050,0.561180344686,0.00012631685522,0.0
1521800071274185895,0.581179971095,0.000130858593155,0.0
1521800071314933061,0.601179602895,0.000135400604419,0.0
1521800071315323114,0.62117924009,0.000139942833926,0.0
1521800071356748104,0.641178882673,0.000144485311016,0.0
1521800071357196092,0.661178530631,0.000149028080694,0.0
1521800071393922090,0.681178183944,0.000153571125767,0.0
1521800071394010066,0.701177842588,0.000158114333218,0.0
1521800071434901952,0.721177506529,0.000162657578474,0.0
1521800071441354036,0.741177175728,0.00016720089717,0.0
1521800071478004932,0.770065867302,0.000173763706956,0.0
1521800071478210926,0.79006694288,0.000178307465923,0.0
1521800071517971992,0.810068005987,0.000182851412628,0.0
1521800071518084049,0.83006905677,0.000187395596292,0.0
1521800071558290004,0.841175598693,0.000189918969867,0.0
1521800071558479070,0.870071121894,0.000196484135179,0.0
1521800071602094888,0.890072136475,0.000201028553293,0.0
1521800071602226972,0.910073139211,0.000205573067297,0.0
1521800071641834974,0.9300741302,0.000210117719714,0.0
1521800071655777931,0.950075109527,0.000214662377607,0.0
1521800071693923950,0.970076077273,0.000219207155365,0.0
1521800071694034099,0.990077033511,0.000223752145739,0.0
1521800071735759973,1.02117305631,0.000230818481164,0.0
1521800071736150026,1.04117279453,0.000235363398894,0.0
1521800071775305986,1.06117253641,0.000239908459715,0.0
1521800071775876045,1.08117228183,0.000244453690229,0.0
1521800071813882112,1.10117203065,0.000248999199768,0.0
1521800071814003944,1.12117178275,0.000253544963553,0.0
1521800071854103088,1.14117153799,0.000258090887205,0.0
1521800071864377975,1.16117129626,0.00026263694944,0.0
1521800071903033018,1.18117105745,0.000267183171158,0.0
1521800071942236900,1.20117082144,0.000271729622411,0.0
1521800071942359924,1.2300876328,0.000278303660896,0.0
1521800071942409992,1.25008844497,0.000282850960341,0.0
1521800071942447900,1.27008924654,0.000287398565334,0.0
1521800072009074926,1.28116990362,0.000289918098992,0.0
1521800072010066032,1.3100908183,0.000296494641705,0.0
1521800072051462888,1.3300915887,0.000301043080676,0.0
1521800072051922082,1.34116924073,0.000303562373773,0.0
1521800072091008901,1.37009309915,0.000310140837391,0.0
1521800072091312885,1.39009383945,0.000314690233396,0.0
1521800072130084037,1.41009457001,0.000319239897883,0.0
1521800072130197048,1.43009529096,0.000323789826613,0.0
1521800072170147895,1.46116797604,0.00033085894187,0.0
1521800072170265913,1.48116777311,0.000335409290034,0.0
1521800072170310974,1.50116757248,0.000339959886983,0.0
1521800072230181932,1.52116737417,0.000344510685568,0.0
