%time,field.x,field.y,field.z
1521803950194958925,5.29319403341e-08,8.54321548726e-18,0.0
1521803950251338958,0.00526031258364,-0.00658227852311,0.0
1521803950253853082,0.00526036551336,-0.00658227852258,0.0
1521803950278959989,0.00526041844286,-0.00658227852201,0.0
1521803950306204080,0.00526044490759,-0.0065822785217,0.0
1521803950334079980,0.00526048460453,-0.00658227852125,0.0
1521803950354172945,0.00526051106917,-0.00658227852093,0.0
1521803950377568006,0.0052605375338,-0.0065822785206,0.0
1521803950408771991,0.0052605375336,-0.00658227852067,0.0
1521803950429081916,0.00526056399815,-0.00658227852035,0.0
1521803950458026885,0.00526063015903,-0.00658227851963,0.0
1521803950491099119,0.00525857858549,-0.00658478125667,0.0
1521803950504620075,0.0052593863518,-0.00658478139831,0.0
1521803950544492959,0.00938409282798,-0.00658474194642,0.0
1521803950569812059,0.0178055327222,-0.00659015533094,0.0
1521803950596776962,0.0558879492205,-0.00658970805094,0.0
1521803950621758937,0.0922897397134,-0.00651159320522,0.0
1521803950635679960,0.12195720638,-0.00651143474528,0.0
1521803950661334037,0.0932419635138,0.00358238285682,0.0
1521803950686094045,0.0981657217383,0.00358296699873,0.0
1521803950713562011,0.137268477877,0.00358809937316,0.0
1521803950745181083,0.177492602271,0.00359314623899,0.0
1521803950764245986,0.192637446754,0.00359501830023,0.0
1521803950790164947,0.20764125359,0.00629380476853,0.0
1521803950815120935,0.248237382205,0.00628864700151,0.0
1521803950836191892,0.258415601502,0.00628736075294,0.0
1521803950866888046,0.268523454011,0.00628604366841,0.0
1521803950897789955,0.309105829841,0.00628083619284,0.0
1521803950913326025,0.329395421772,0.00627823261381,0.0
1521803950941564083,0.335564594782,0.0034580651512,0.0
1521803950964982032,0.37615581001,0.00346265996778,0.0
1521803950989728927,0.396437781412,0.00346496662087,0.0
1521803951012988090,0.416714276483,0.00346727460817,0.0
1521803951035397052,0.426880641319,0.00346844412624,0.0
1521803951066695928,0.420350360295,0.00202501322863,0.0
1521803951094304084,0.460796897048,0.0020668273064,0.0
1521803951112684965,0.470929443943,0.00207731415295,0.0
1521803951142395019,0.526542643253,0.00213482572507,0.0
1521803951164581060,0.546785906793,0.00215576491154,0.0
1521803951186145067,0.556934231819,0.00216627272231,0.0
1521803951227596044,0.642883624687,0.00147141301752,0.0
1521803951241360902,0.653029512422,0.00147271453576,0.0
1521803951267069101,0.663113345254,0.00147398554625,0.0
1521803951295392990,0.75881524527,-0.000150142626089,0.0
1521803951320357084,0.779050375985,-0.000149717714236,0.0
1521803951343270063,0.819503327697,-0.000148852591717,0.0
1521803951367177009,0.839723718966,-0.000148417709557,0.0
1521803951392999887,0.825296311943,-0.00268168822267,0.0
1521803951415009021,0.860718105917,-0.00268252976548,0.0
1521803951439925909,0.870835750591,-0.00268275935406,0.0
1521803951469631910,0.885967335635,-0.00268311079048,0.0
1521803951492466926,0.896091981842,-0.0026833356348,0.0
1521803951521131038,0.946543275781,-0.00268449531449,0.0
1521803951546663045,1.00711421994,0.000954989548391,0.0
1521803951569138050,1.02732340979,0.000955766644842,0.0
1521803951596415042,1.06771793821,0.00095725999968,0.0
1521803951618863105,1.08790832499,0.000957996642938,0.0
1521803951640364885,1.09802418115,0.000958374128372,0.0
1521803951682265043,1.10633583516,-0.00142852406697,0.0
1521803951693527936,1.12651880919,-0.0014284884839,0.0
1521803951718916893,1.16687373084,-0.00142840683202,0.0
1521803951740586042,1.17698113555,-0.00142837901101,0.0
1521803951769407987,1.22235253845,-0.00142827969644,0.0
1521803951794684886,1.24248727291,-0.00142823866214,0.0
