%time,field.x,field.y,field.z,field.w
1521803950170667886,2.02991228936e-06,-2.05954828282e-06,-0.707142028618,0.707071531992
1521803950171466112,2.02993928743e-06,-2.05957929152e-06,-0.707142028594,0.707071532016
1521803950178097009,2.02996625877e-06,-2.05961026946e-06,-0.70714202857,0.70707153204
1521803950178637027,2.02999320319e-06,-2.0596412166e-06,-0.707142028545,0.707071532065
1521803950179248094,2.03002012095e-06,-2.05967213314e-06,-0.707142028521,0.707071532089
1521803950179420948,2.03004701198e-06,-2.059703019e-06,-0.707142028497,0.707071532113
1521803950179558992,2.03007387627e-06,-2.05973387411e-06,-0.707142028473,0.707071532137
1521803950190188884,2.03010071394e-06,-2.05976469865e-06,-0.707142028449,0.707071532162
1521803950190887928,2.03012752504e-06,-2.05979549263e-06,-0.707142028424,0.707071532186
1521803950190978050,2.03015430949e-06,-2.05982625604e-06,-0.7071420284,0.70707153221
1521803950191056013,2.03018106728e-06,-2.05985698892e-06,-0.707142028376,0.707071532234
1521803950191133022,2.03020779848e-06,-2.0598876912e-06,-0.707142028352,0.707071532258
1521803950191209077,2.03023450323e-06,-2.0599183632e-06,-0.707142028328,0.707071532283
1521803950191281080,2.03026118146e-06,-2.05994900453e-06,-0.707142028303,0.707071532307
1521803950191344022,2.0302878332e-06,-2.05997961552e-06,-0.707142028279,0.707071532331
1521803950191406011,2.03031445852e-06,-2.06001019628e-06,-0.707142028255,0.707071532355
1521803950191466093,2.03034105736e-06,-2.06004074652e-06,-0.707142028231,0.707071532379
1521803950194267988,2.0303676298e-06,-2.06007126659e-06,-0.707142028207,0.707071532403
1521803950197696924,2.03039417583e-06,-2.06010175621e-06,-0.707142028183,0.707071532428
1521803950197813987,2.03042069547e-06,-2.06013221569e-06,-0.707142028158,0.707071532452
1521803950198321104,2.03044718896e-06,-2.06016264496e-06,-0.707142028134,0.707071532476
1521803950198497056,2.030473656e-06,-2.06019304391e-06,-0.70714202811,0.7070715325
1521803950274004936,2.03050009682e-06,-2.06022341287e-06,-0.707142028086,0.707071532524
1521803950321937084,2.0305265113e-06,-2.06025375151e-06,-0.707142028062,0.707071532548
1521803950411170005,2.03055289966e-06,-2.06028406003e-06,-0.707142028038,0.707071532572
1521803950446360111,2.03057926177e-06,-2.0603143387e-06,-0.707142028014,0.707071532596
1521803950478226900,-5.00251170227e-07,-4.75022378032e-06,-0.707142762816,0.70707079771
1521803950478374958,-6.01600171837e-07,-4.81923042516e-06,-0.707143527393,0.707070033054
1521803950523924112,-5.92639318513e-07,-4.82357362853e-06,-0.707143757876,0.707069802547
1521803950526489019,-5.89705859427e-07,-4.82481566167e-06,-0.707143835107,0.707069725308
1521803950540317058,-5.88952179514e-07,-4.82489328477e-06,-0.707143862156,0.707069698255
1521803950540458917,-5.89154568444e-07,-4.8242726738e-06,-0.707143872535,0.707069687875
1521803950541177034,-5.90016134365e-07,-4.82296165252e-06,-0.707143877265,0.707069683145
1521803950574361085,-5.91562152235e-07,-4.82079681033e-06,-0.707143879969,0.707069680441
1521803950575917005,-5.93937303578e-07,-4.81754114908e-06,-0.707143881818,0.707069678592
1521803950575993061,-5.97332908768e-07,-4.81292385192e-06,-0.707143883159,0.70706967725
1521803950615052938,-6.01954592864e-07,-4.80666445573e-06,-0.707143884062,0.707069676347
1521803950615416049,-6.0800044995e-07,-4.7984957422e-06,-0.707143884493,0.707069675916
1521803950615515947,-6.15639576198e-07,-4.78819036419e-06,-0.707143884381,0.707069676028
1521803950615622043,-6.24987693216e-07,-4.77559275827e-06,-0.707143883642,0.707069676768
1521803950654617071,1.99749394043e-06,-2.01795548562e-06,-0.707142540764,0.707071019795
1521803950656887054,1.97046686992e-06,-1.99651022971e-06,-0.707142205665,0.707071354928
1521803950700858116,1.95185403102e-06,-1.98058744518e-06,-0.707142094766,0.707071465838
1521803950743156909,1.93632713744e-06,-1.96606031386e-06,-0.707142056395,0.707071504213
1521803950781842947,1.92198675269e-06,-1.95215419831e-06,-0.707142041896,0.707071518713
1521803950781944036,1.90841790948e-06,-1.9388278116e-06,-0.707142035316,0.707071525294
1521803950781982898,1.89568590225e-06,-1.92626778747e-06,-0.707142031411,0.707071529199
1521803950822948932,1.88400141864e-06,-1.91472249193e-06,-0.707142028469,0.707071532142
1521803950878102064,1.87360568384e-06,-1.90444327471e-06,-0.707142025949,0.707071534663
1521803950918843030,1.86472850567e-06,-1.89566119617e-06,-0.707142023692,0.70707153692
1521803950919094085,1.85757093445e-06,-1.88857593588e-06,-0.707142021667,0.707071538945
1521803950919228076,1.85229665389e-06,-1.88334929896e-06,-0.70714201988,0.707071540732
1521803950957927942,1.84902690564e-06,-1.88010087445e-06,-0.707142018346,0.707071542266
1521803950961812019,1.84783727342e-06,-1.87890508589e-06,-0.707142017079,0.707071543533
1521803950998492956,1.84875580794e-06,-1.87978941827e-06,-0.707142016088,0.707071544524
1521803951037878990,1.85176233624e-06,-1.88273376402e-06,-0.707142015378,0.707071545235
1521803951077950954,1.85678890813e-06,-1.88767087581e-06,-0.707142014945,0.707071545668
1521803951078056097,1.86372134665e-06,-1.89448790144e-06,-0.70714201478,0.707071545832
1521803951118063926,1.87240185937e-06,-1.90302896571e-06,-0.70714201487,0.707071545743
1521803951118159055,1.88263264976e-06,-1.91309873678e-06,-0.707142015192,0.70707154542
1521803951158132076,1.89418044318e-06,-1.92446689597e-06,-0.707142015722,0.70707154489
1521803951192923069,1.90678182638e-06,-1.93687340839e-06,-0.707142016428,0.707071544184
1521803951232186079,1.92014927438e-06,-1.95003447463e-06,-0.707142017275,0.707071543336
1521803951232299089,1.93397773125e-06,-1.96364902474e-06,-0.707142018227,0.707071542385
1521803951269933938,1.94795159025e-06,-1.97740561006e-06,-0.707142019241,0.70707154137
1521803951270010948,1.96175191672e-06,-1.99098953008e-06,-0.707142020277,0.707071540334
1521803951310343980,1.97506374518e-06,-2.00409003617e-06,-0.707142021292,0.707071539319
1521803951314488887,1.98758328822e-06,-2.01640744296e-06,-0.707142022244,0.707071538367
1521803951350210905,1.99902488716e-06,-2.0276599877e-06,-0.707142023094,0.707071537517
1521803951389841079,2.00912754926e-06,-2.03759027859e-06,-0.707142023803,0.707071536808
1521803951389966964,2.01766092072e-06,-2.04597118607e-06,-0.707142024336,0.707071536275
1521803951430084943,2.02443055777e-06,-2.05261104063e-06,-0.707142024662,0.707071535948
1521803951498503923,2.02928237671e-06,-2.05735801886e-06,-0.707142024757,0.707071535854
1521803951541898012,2.03210618102e-06,-2.06010361854e-06,-0.707142024598,0.707071536012
1521803951542041063,2.03283818319e-06,-2.06078514053e-06,-0.707142024172,0.707071536439
1521803951542103052,2.03146246449e-06,-2.05938712379e-06,-0.707142023469,0.707071537141
1521803951578075885,2.02801134104e-06,-2.05594169798e-06,-0.707142022488,0.707071538123
1521803951578174114,2.0225646241e-06,-2.05052784803e-06,-0.707142021232,0.707071539379
1521803951582971096,2.01524779442e-06,-2.04326960615e-06,-0.707142019711,0.7070715409
1521803951631683111,2.00622913104e-06,-2.03433321196e-06,-0.707142017943,0.707071542668
1521803951670753002,1.99571586021e-06,-2.02392330849e-06,-0.707142015949,0.707071544663
1521803951671103954,1.98394941368e-06,-2.01227825806e-06,-0.707142013756,0.707071546856
1521803951710182905,1.97119990305e-06,-1.99966468797e-06,-0.707142011397,0.707071549216
1521803951710266113,1.95775993827e-06,-1.98637138815e-06,-0.707142008906,0.707071551707
1521803951750746965,1.94393793055e-06,-1.97270270272e-06,-0.707142006323,0.70707155429
1521803951757801055,1.930051034e-06,-1.95897156536e-06,-0.707142003688,0.707071556925
1521803951793946027,1.91641788667e-06,-1.94549233867e-06,-0.707142001044,0.707071559569
1521803951834913969,1.90335131832e-06,-1.93257362013e-06,-0.707141998433,0.707071562181
1521803951835231065,1.89115119009e-06,-1.92051118043e-06,-0.707141995895,0.707071564719
1521803951889543056,1.88009753188e-06,-1.90958119585e-06,-0.707141993471,0.707071567143
1521803951911263942,1.8704441333e-06,-1.9000339271e-06,-0.707141991199,0.707071569416
1521803951950968027,1.86241273549e-06,-1.89208799368e-06,-0.707141989112,0.707071571503
1521803951991044998,1.85618795643e-06,-1.8859253699e-06,-0.707141987239,0.707071573377
1521803951991131067,1.85191306605e-06,-1.88168722074e-06,-0.707141985605,0.707071575011
1521803951991168975,1.84968670775e-06,-1.8794706707e-06,-0.707141984229,0.707071576386
1521803952031203031,1.84956064137e-06,-1.87932658078e-06,-0.707141983125,0.70707157749
1521803952033411026,1.85153855914e-06,-1.88125838411e-06,-0.7071419823,0.707071578316
1521803952070646047,1.85557600216e-06,-1.8852220065e-06,-0.707141981754,0.707071578861
1521803952110084056,1.86158137766e-06,-1.89112687472e-06,-0.707141981482,0.707071579133
1521803952110156059,1.86941805672e-06,-1.89883798846e-06,-0.707141981472,0.707071579143
1521803952149983882,1.87890750078e-06,-1.90817900943e-06,-0.707141981707,0.707071578909
1521803952175122022,1.88983334789e-06,-1.91893629687e-06,-0.707141982161,0.707071578454
1521803952214390993,1.90194636479e-06,-1.93086379606e-06,-0.707141982808,0.707071577808
1521803952271984100,1.91497014976e-06,-1.94368866956e-06,-0.707141983614,0.707071577001
1521803952310487031,1.92860745898e-06,-1.95711754167e-06,-0.707141984542,0.707071576073
1521803952310586929,1.94254700749e-06,-1.97084321232e-06,-0.707141985554,0.707071575061
1521803952310630083,1.95647059369e-06,-1.98455168827e-06,-0.707141986608,0.707071574006
1521803952310663938,1.97006037971e-06,-1.99792936902e-06,-0.707141987663,0.707071572952
1521803952350001096,1.98300616549e-06,-2.01067022494e-06,-0.707141988675,0.70707157194
1521803952383912086,1.9950124864e-06,-2.02248280098e-06,-0.707141989603,0.707071571011
1521803952423038959,2.00580537564e-06,-2.03309688725e-06,-0.70714199041,0.707071570204
1521803952423131942,2.01513863232e-06,-2.04226970359e-06,-0.707141991057,0.707071569557
1521803952466638088,2.02279945687e-06,-2.04979145527e-06,-0.707141991513,0.707071569101
1521803952466859102,2.02861332016e-06,-2.0554901348e-06,-0.707141991748,0.707071568866
1521803952506215095,2.03244795841e-06,-2.05923545822e-06,-0.70714199174,0.707071568874
1521803952521606922,2.03421639999e-06,-2.06094184578e-06,-0.707141991471,0.707071569143
1521803952557779073,2.03387895641e-06,-2.06057038092e-06,-0.707141990929,0.707071569685
1521803952557849884,2.03144413151e-06,-2.05812969969e-06,-0.707141990109,0.707071570505
1521803952624778032,2.02696842699e-06,-2.05367579239e-06,-0.707141989011,0.707071571603
1521803952624989986,2.02055505014e-06,-2.04731072203e-06,-0.707141987642,0.707071572972
1521803952662328958,2.0123515525e-06,-2.03918028797e-06,-0.707141986017,0.707071574597
1521803952662585973,2.00254645348e-06,-2.02947068854e-06,-0.707141984155,0.70707157646
1521803952703022956,1.9913649264e-06,-2.01840425969e-06,-0.707141982079,0.707071578535
1521803952744568109,1.97906364511e-06,-2.00623438673e-06,-0.707141979821,0.707071580794
1521803952782005071,1.96592491038e-06,-1.99323970548e-06,-0.707141977414,0.707071583202
1521803952782095909,1.95225018861e-06,-1.97971772601e-06,-0.707141974894,0.707071585721
1521803952782159090,1.93835321224e-06,-1.96597802423e-06,-0.707141972303,0.707071588313
1521803952839704036,1.92455279984e-06,-1.95233515792e-06,-0.707141969681,0.707071590935
1521803952839907884,1.91116555883e-06,-1.93910146839e-06,-0.707141967071,0.707071593546
1521803952883869886,1.89849863944e-06,-1.92657993341e-06,-0.707141964515,0.707071596102
1521803952923167943,1.88684270465e-06,-1.91505723397e-06,-0.707141962053,0.707071598564
1521803952923341989,1.87646527853e-06,-1.90479719342e-06,-0.707141959724,0.707071600893
1521803952962311029,1.86760462262e-06,-1.89603474134e-06,-0.707141957564,0.707071603054
1521803952962534904,1.86046428384e-06,-1.88897053638e-06,-0.707141955605,0.707071605014
1521803953002084016,1.85520843599e-06,-1.88376637431e-06,-0.707141953873,0.707071606746
1521803953020862102,1.85195812306e-06,-1.8805414855e-06,-0.70714195239,0.707071608229
1521803953059386968,1.85078848922e-06,-1.87936980555e-06,-0.707141951173,0.707071609445
1521803953098083019,1.85172705963e-06,-1.88027828297e-06,-0.707141950233,0.707071610386
1521803953098196029,1.85475311146e-06,-1.88324626175e-06,-0.707141949572,0.707071611047
1521803953139153957,1.85979814831e-06,-1.8882059535e-06,-0.707141949188,0.707071611431
1521803953164041042,1.86674746883e-06,-1.89504398831e-06,-0.707141949073,0.707071611546
1521803953207381010,1.87544279149e-06,-1.90360400835e-06,-0.707141949212,0.707071611407
1521803953207742929,1.88568587831e-06,-1.91369024621e-06,-0.707141949583,0.707071611035
1521803953243279933,1.89724307065e-06,-1.92507200444e-06,-0.707141950162,0.707071610457
1521803953243597984,1.90985063742e-06,-1.93748893542e-06,-0.707141950916,0.707071609703
1521803953282038927,1.92322080995e-06,-1.95065699891e-06,-0.707141951811,0.707071608808
1521803953319735050,1.93704836762e-06,-1.9642749635e-06,-0.707141952809,0.707071607809
1521803953358071088,1.9510176224e-06,-1.97803130006e-06,-0.70714195387,0.707071606748
1521803953358179092,1.96480964279e-06,-1.99161131248e-06,-0.707141954952,0.707071605666
1521803953397859096,1.97810955214e-06,-2.00470433932e-06,-0.707141956012,0.707071604605
1521803953397942066,1.99061373378e-06,-2.01701086461e-06,-0.707141957009,0.707071603608
1521803953438630104,2.00203677914e-06,-2.02824937286e-06,-0.707141957903,0.707071602714
1521803953455882072,2.01211801909e-06,-2.03816279167e-06,-0.707141958656,0.707071601961
1521803953494441986,2.02062748865e-06,-2.04652437585e-06,-0.707141959232,0.707071601385
1521803953494621992,2.02737119019e-06,-2.0531428962e-06,-0.707141959602,0.707071601015
1521803953534054040,2.03219553295e-06,-2.05786701586e-06,-0.707141959739,0.707071600878
1521803953534914016,2.03499084833e-06,-2.06058875394e-06,-0.707141959623,0.707071600994
1521803953574027061,2.03569389994e-06,-2.06124595531e-06,-0.707141959239,0.707071601378
1521803953614170074,2.03428933196e-06,-2.05982371392e-06,-0.707141958578,0.707071602039
1521803953614346027,2.03081001999e-06,-2.05635471193e-06,-0.707141957639,0.707071602978
1521803953654376983,2.0253363208e-06,-2.05091847212e-06,-0.707141956425,0.707071604192
1521803953667602062,2.01799423248e-06,-2.04363953692e-06,-0.707141954947,0.707071605671
1521803953706420898,2.00895251262e-06,-2.034684618e-06,-0.707141953221,0.707071607397
1521803953746138095,1.99841881548e-06,-2.02425878029e-06,-0.707141951269,0.707071609349
1521803953746252059,1.98663494089e-06,-2.01260074902e-06,-0.707141949119,0.707071611499
1521803953787197113,1.97387130026e-06,-1.99997744653e-06,-0.707141946803,0.707071613816
1521803953787620067,1.96042072757e-06,-1.98667788371e-06,-0.707141944356,0.707071616263
1521803953825943946,1.946591778e-06,-1.97300654607e-06,-0.707141941817,0.707071618802
1521803953831564903,1.93270166554e-06,-1.95927642623e-06,-0.707141939227,0.707071621393
1521803953871524095,1.91906900342e-06,-1.94580186157e-06,-0.707141936627,0.707071623993
1521803953910218000,1.90600651173e-06,-1.93289134108e-06,-0.707141934061,0.707071626559
1521803953910301923,1.89381385975e-06,-1.92084044612e-06,-0.707141931569,0.707071629051
1521803953950232982,1.88277080835e-06,-1.90992508658e-06,-0.707141929192,0.707071631429
1521803953959225893,1.87313080626e-06,-1.90039518695e-06,-0.707141926966,0.707071633655
1521803953998333930,1.86511519005e-06,-1.89246896727e-06,-0.707141924925,0.707071635696
1521803954038121938,1.85890811887e-06,-1.88632794882e-06,-0.707141923099,0.707071637523
