%time,field.x,field.y,field.z,field.w
1521803950195023059,0.0,0.0,4.45648848542e-09,1.0
1521803950251351118,0.0,0.0,5.52057139386e-06,0.999999999985
1521803950253972053,0.0,0.0,5.52813603255e-06,0.999999999985
1521803950278978109,0.0,0.0,5.53046118784e-06,0.999999999985
1521803950306214094,0.0,0.0,5.53345261086e-06,0.999999999985
1521803950333935022,0.0,0.0,5.53793974676e-06,0.999999999985
1521803950354202985,0.0,0.0,5.54093117207e-06,0.999999999985
1521803950377587080,0.0,0.0,5.54392259739e-06,0.999999999985
1521803950408834934,0.0,0.0,5.54471420463e-06,0.999999999985
1521803950429768085,0.0,0.0,5.54831129674e-06,0.999999999985
1521803950458044052,0.0,0.0,5.55611274933e-06,0.999999999985
1521803950491105079,0.0,0.0,6.25795588553e-06,0.99999999998
1521803950504632949,0.0,0.0,5.83265334797e-06,0.999999999983
1521803950545053958,0.0,0.0,3.60271889641e-06,0.999999999994
1521803950570832014,0.0,0.0,5.8980117716e-06,0.999999999983
1521803950596807003,0.0,0.0,5.87994772786e-06,0.999999999983
1521803950621759891,0.0,0.0,2.61923619951e-06,0.999999999997
1521803950635664939,0.0,0.0,2.62415709724e-06,0.999999999997
1521803950661350011,0.0,0.0,5.96543917438e-05,0.999999998221
1521803950686039924,0.0,0.0,5.98156073526e-05,0.999999998211
1521803950715972900,0.0,0.0,6.13088469749e-05,0.999999998121
1521803950746164083,0.0,0.0,6.14849346762e-05,0.99999999811
1521803950764302968,0.0,0.0,6.15046215471e-05,0.999999998109
1521803950791971921,0.0,0.0,-6.47272587574e-05,0.999999997905
1521803950815120935,0.0,0.0,-6.47063332097e-05,0.999999997907
1521803950836191892,0.0,0.0,-6.47020755238e-05,0.999999997907
1521803950865766048,0.0,0.0,-6.46976271214e-05,0.999999997907
1521803950898200035,0.0,0.0,-6.46813900358e-05,0.999999997908
1521803950913336038,0.0,0.0,-6.46723736323e-05,0.999999997909
1521803950941498994,0.0,0.0,5.64728910518e-05,0.999999998405
1521803950965008974,0.0,0.0,5.64838790944e-05,0.999999998405
1521803950989736080,0.0,0.0,5.64895410529e-05,0.999999998404
1521803951014538049,0.0,0.0,5.64950967926e-05,0.999999998404
1521803951035521984,0.0,0.0,5.64982175111e-05,0.999999998404
1521803951066695928,0.0,0.0,0.000516742722584,0.999999866488
1521803951094234943,0.0,0.0,0.00051675314819,0.999999866483
1521803951112694978,0.0,0.0,0.000516755333295,0.999999866482
1521803951142446041,0.0,0.0,0.000516769473855,0.999999866475
1521803951164582967,0.0,0.0,0.000516773108256,0.999999866473
1521803951186148881,0.0,0.0,0.000516773561174,0.999999866473
1521803951227612018,0.0,0.0,6.3334859545e-05,0.999999997994
1521803951243303060,0.0,0.0,6.33374019377e-05,0.999999997994
1521803951267136096,0.0,0.0,6.33391801416e-05,0.999999997994
1521803951296531915,0.0,0.0,1.04522508311e-05,0.999999999945
1521803951320462942,0.0,0.0,1.04550201435e-05,0.999999999945
1521803951343280076,0.0,0.0,1.04601835909e-05,0.999999999945
1521803951367271900,0.0,0.0,1.04644611524e-05,0.999999999945
1521803951393013000,0.0,0.0,-1.15859129899e-05,0.999999999933
1521803951415014028,0.0,0.0,-1.15754953724e-05,0.999999999933
1521803951440047979,0.0,0.0,-1.15747894837e-05,0.999999999933
1521803951469568014,0.0,0.0,-1.15740770082e-05,0.999999999933
1521803951492492914,0.0,0.0,-1.15736754961e-05,0.999999999933
1521803951521148920,0.0,0.0,-1.15555915459e-05,0.999999999933
1521803951546992063,0.0,0.0,1.78238498791e-05,0.999999999841
1521803951569219112,0.0,0.0,1.78270744403e-05,0.999999999841
1521803951596694946,0.0,0.0,1.78363365016e-05,0.999999999841
1521803951618910074,0.0,0.0,1.78424338968e-05,0.999999999841
1521803951640331029,0.0,0.0,1.78456347402e-05,0.999999999841
1521803951682312965,0.0,0.0,8.18482352899e-07,1.0
1521803951693552017,0.0,0.0,8.24301196012e-07,1.0
1521803951718933105,0.0,0.0,8.39015006744e-07,1.0
1521803951740592002,0.0,0.0,8.44187443682e-07,1.0
