%time;field.header.seq;field.header.stamp;field.header.frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35
248955000000;31;248955000000;map;6.582938324;-0.0498628488809;0.0;0.0;0.0;-0.00135508535316;0.999999081871;0.847131549984;-0.0239944602048;0.00851070160467;0.0;0.0;0.0;0.0;0.0;0.0103920299648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
249357000000;32;249357000000;map;6.80706280778;-0.0507973505469;0.0;0.0;0.0;-0.00123122355863;0.999999242044;0.540348025031;-0.0167060639552;0.00585883892143;0.0;0.0;0.0;0.0;0.0;0.00682897811653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
249740000000;33;249740000000;map;7.01552117151;-0.0487104376926;0.0;0.0;0.0;-0.001104688281;0.999999389832;0.425022034909;-0.0179187263562;0.00674821993883;0.0;0.0;0.0;0.0;0.0;0.0081889494934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
250159000000;34;250159000000;map;7.2373990595;-0.0483460522768;0.0;0.0;0.0;-0.000779717507407;0.99999969602;0.406749164763;-0.0135326726124;0.00560124441268;0.0;0.0;0.0;0.0;0.0;0.00650190674377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
250573000000;35;250573000000;map;7.44321143616;-0.0485617619855;0.0;0.0;0.0;-0.00075805332388;0.999999712678;0.317242426082;-0.000544822035813;0.00164466914626;0.0;0.0;0.0;0.0;0.0;0.000610917348119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
250964000000;36;250964000000;map;7.66179837777;-0.0500060105753;0.0;0.0;0.0;-0.00115076276248;0.999999337872;0.229214095851;0.00113619699549;0.00160776768994;0.0;0.0;0.0;0.0;0.0;0.000654724204926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
251458000000;37;251458000000;map;7.87286694748;-0.0490129360404;0.0;0.0;0.0;-0.000102950955461;0.999999994701;0.269878116661;0.0022173502955;0.00171828001111;0.0;0.0;0.0;0.0;0.0;0.00060702606961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
251866000000;38;251866000000;map;8.08014589971;-0.0483708072733;0.0;0.0;0.0;-0.000351900274681;0.999999938083;0.142342751312;0.00145944143442;0.00169213974646;0.0;0.0;0.0;0.0;0.0;0.000612928107148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
252252000000;39;252252000000;map;8.28829936146;-0.0485037645261;0.0;0.0;0.0;-0.000583494617435;0.999999829767;0.126876615226;0.00135526096249;0.00172238842021;0.0;0.0;0.0;0.0;0.0;0.000614948043521;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
252556000000;40;252556000000;map;8.49409068235;-0.0488055291346;0.0;0.0;0.0;-6.3053089168e-05;0.999999998012;0.170680986222;0.00249219524463;0.00187095947521;0.0;0.0;0.0;0.0;0.0;0.000686815657601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
